GCA_contig_name	SCAF
JALGQA010000001.1	SCAF_1
JALGQA010000010.1	SCAF_10
JALGQA010000100.1	SCAF_100
JALGQA010000101.1	SCAF_101
JALGQA010000102.1	SCAF_102
JALGQA010000103.1	SCAF_103
JALGQA010000104.1	SCAF_104
JALGQA010000105.1	SCAF_105
JALGQA010000106.1	SCAF_106
JALGQA010000107.1	SCAF_107
JALGQA010000108.1	SCAF_108
JALGQA010000109.1	SCAF_109
JALGQA010000011.1	SCAF_11
JALGQA010000110.1	SCAF_110
JALGQA010000111.1	SCAF_111
JALGQA010000112.1	SCAF_112
JALGQA010000113.1	SCAF_113
JALGQA010000114.1	SCAF_114
JALGQA010000115.1	SCAF_115
JALGQA010000116.1	SCAF_116
JALGQA010000117.1	SCAF_117
JALGQA010000118.1	SCAF_118
JALGQA010000119.1	SCAF_119
JALGQA010000012.1	SCAF_12
JALGQA010000120.1	SCAF_120
JALGQA010000121.1	SCAF_121
JALGQA010000122.1	SCAF_122
JALGQA010000123.1	SCAF_123
JALGQA010000124.1	SCAF_124
JALGQA010000125.1	SCAF_125
JALGQA010000126.1	SCAF_126
JALGQA010000127.1	SCAF_127
JALGQA010000128.1	SCAF_128
JALGQA010000129.1	SCAF_129
JALGQA010000013.1	SCAF_13
JALGQA010000130.1	SCAF_130
JALGQA010000131.1	SCAF_131
JALGQA010000132.1	SCAF_132
JALGQA010000133.1	SCAF_133
JALGQA010000134.1	SCAF_134
JALGQA010000135.1	SCAF_135
JALGQA010000136.1	SCAF_136
JALGQA010000137.1	SCAF_137
JALGQA010000138.1	SCAF_138
JALGQA010000139.1	SCAF_139
JALGQA010000014.1	SCAF_14
JALGQA010000140.1	SCAF_140
JALGQA010000141.1	SCAF_141
JALGQA010000142.1	SCAF_142
JALGQA010000143.1	SCAF_143
JALGQA010000144.1	SCAF_144
JALGQA010000145.1	SCAF_145
JALGQA010000146.1	SCAF_146
JALGQA010000147.1	SCAF_147
JALGQA010000148.1	SCAF_148
JALGQA010000149.1	SCAF_149
JALGQA010000015.1	SCAF_15
JALGQA010000150.1	SCAF_150
JALGQA010000151.1	SCAF_151
JALGQA010000152.1	SCAF_152
JALGQA010000153.1	SCAF_153
JALGQA010000154.1	SCAF_154
