LIB_SAMPLE	SAMPLE_ID	LOCATION	SIMPLE_LOCATION	COLLECTION_YEAR	LAT_DD	LONG_DD	LIBRARY_PLATE	PointConception	LAT	LONG
AWJG02G10	CH2118	CharlestonSouthCove	Charleston	2021	43.34013889	-124.3781611	2	N	43°20'24.50"N	 124°22'41.38"W
AWJG03F05	CH2119	CharlestonSouthCove	Charleston	2021	43.34013889	-124.3781611	3	N	43°20'24.50"N	 124°22'41.38"W
AWJG03C09	CH2120	CharlestonSouthCove	Charleston	2021	43.34013889	-124.3781611	3	N	43°20'24.50"N	 124°22'41.38"W
AWJG01G02	SF09-6-15	PortOrford	PortOrford	2009	42.73890556	-124.5021778	1	N	42°44'20.06"N	 124°30'7.84"W
AWJG01G03	SF09-6-16	PortOrford	PortOrford	2009	42.73890556	-124.5021778	1	N	42°44'20.06"N	 124°30'7.84"W
AWJG01G04	SF09-6-17	PortOrford	PortOrford	2009	42.73890556	-124.5021778	1	N	42°44'20.06"N	 124°30'7.84"W
AWJG01G07	PO2125	PortOrford	PortOrford	2021	42.4414	-124.3025	1	N	42.4414	-124.3025
AWJG01G08	PO2126	PortOrford	PortOrford	2021	42.4414	-124.3025	1	N	42.4414	-124.3025
AWJG01G11	PO2128	PortOrford	PortOrford	2021	42.4414	-124.3025	1	N	42.4414	-124.3025
AWJG01G12	PO2130	PortOrford	PortOrford	2021	42.4414	-124.3025	1	N	42.4414	-124.3025
AWJG02F03	PO2127	PortOrford	PortOrford	2021	42.4414	-124.3025	2	N	42.4414	-124.3025
AWJG02G04	PO2131	PortOrford	PortOrford	2021	42.4414	-124.3025	2	N	42.4414	-124.3025
AWJG02G05	PO2132	PortOrford	PortOrford	2021	42.4414	-124.3025	2	N	42.4414	-124.3025
AWJG02G06	PO2133	PortOrford	PortOrford	2021	42.4414	-124.3025	2	N	42.4414	-124.3025
AWJG02G09	PO2136	PortOrford	PortOrford	2021	42.4414	-124.3025	2	N	42.4414	-124.3025
